"country_id","country_name","country_code"
1,"Afghanistan","AFG"
2,"Albania","ALB"
3,"Algeria","DZA"
4,"American Samoa","ASM"
5,"Andorra","AND"
6,"Angola","AGO"
7,"Antigua and Barbuda","ATG"
8,"Argentina","ARG"
9,"Armenia","ARM"
10,"Aruba","ABW"
11,"Australia","AUS"
12,"Austria","AUT"
13,"Azerbaijan","AZE"
14,"Bahamas, The","BHS"
15,"Bahrain","BHR"
16,"Bangladesh","BGD"
17,"Barbados","BRB"
18,"Belarus","BLR"
19,"Belgium","BEL"
20,"Belize","BLZ"
21,"Benin","BEN"
22,"Bermuda","BMU"
23,"Bhutan","BTN"
24,"Bolivia","BOL"
25,"Bosnia and Herzegovina","BIH"
26,"Botswana","BWA"
27,"Brazil","BRA"
28,"Brunei Darussalam","BRN"
29,"Bulgaria","BGR"
30,"Burkina Faso","BFA"
31,"Burundi","BDI"
32,"Cabo Verde","CPV"
33,"Cambodia","KHM"
34,"Cameroon","CMR"
35,"Canada","CAN"
36,"Cayman Islands","CYM"
37,"Central African Republic","CAF"
38,"Chad","TCD"
39,"Channel Islands","CHI"
40,"Chile","CHL"
41,"China","CHN"
42,"Colombia","COL"
43,"Comoros","COM"
44,"Congo, Dem. Rep.","COD"
45,"Congo, Rep.","COG"
46,"Costa Rica","CRI"
47,"Cote d'Ivoire","CIV"
48,"Croatia","HRV"
49,"Cuba","CUB"
50,"Cyprus","CYP"
51,"Czech Republic","CZE"
52,"Denmark","DNK"
53,"Djibouti","DJI"
54,"Dominica","DMA"
55,"Dominican Republic","DOM"
56,"Ecuador","ECU"
57,"Egypt, Arab Rep.","EGY"
58,"El Salvador","SLV"
59,"Equatorial Guinea","GNQ"
60,"Eritrea","ERI"
61,"Estonia","EST"
62,"Ethiopia","ETH"
63,"Faroe Islands","FRO"
64,"Fiji","FJI"
65,"Finland","FIN"
66,"France","FRA"
67,"French Polynesia","PYF"
68,"Gabon","GAB"
69,"Gambia, The","GMB"
70,"Georgia","GEO"
71,"Germany","DEU"
72,"Ghana","GHA"
73,"Greece","GRC"
74,"Greenland","GRL"
75,"Grenada","GRD"
76,"Guam","GUM"
77,"Guatemala","GTM"
78,"Guinea","GIN"
79,"Guinea-Bissau","GNB"
80,"Guyana","GUY"
81,"Haiti","HTI"
82,"Honduras","HND"
83,"Hong Kong SAR, China","HKG"
84,"Hungary","HUN"
85,"Iceland","ISL"
86,"India","IND"
87,"Indonesia","IDN"
88,"Iran, Islamic Rep.","IRN"
89,"Iraq","IRQ"
90,"Ireland","IRL"
91,"Isle of Man","IMN"
92,"Israel","ISR"
93,"Italy","ITA"
94,"Jamaica","JAM"
95,"Japan","JPN"
96,"Jordan","JOR"
97,"Kazakhstan","KAZ"
98,"Kenya","KEN"
99,"Kiribati","KIR"
100,"Korea, Rep.","KOR"
101,"Kosovo","XKX"
102,"Kuwait","KWT"
103,"Kyrgyz Republic","KGZ"
104,"Lao PDR","LAO"
105,"Latvia","LVA"
106,"Lebanon","LBN"
107,"Lesotho","LSO"
108,"Liberia","LBR"
109,"Libya","LBY"
110,"Liechtenstein","LIE"
111,"Lithuania","LTU"
112,"Luxembourg","LUX"
113,"Macao SAR, China","MAC"
114,"Macedonia, FYR","MKD"
115,"Madagascar","MDG"
116,"Malawi","MWI"
117,"Malaysia","MYS"
118,"Maldives","MDV"
119,"Mali","MLI"
120,"Malta","MLT"
121,"Marshall Islands","MHL"
122,"Mauritania","MRT"
123,"Mauritius","MUS"
124,"Mexico","MEX"
125,"Micronesia, Fed. Sts.","FSM"
126,"Moldova","MDA"
127,"Monaco","MCO"
128,"Mongolia","MNG"
129,"Montenegro","MNE"
130,"Morocco","MAR"
131,"Mozambique","MOZ"
132,"Myanmar","MMR"
133,"Namibia","NAM"
134,"Nauru","NRU"
135,"Nepal","NPL"
136,"Netherlands","NLD"
137,"New Caledonia","NCL"
138,"New Zealand","NZL"
139,"Nicaragua","NIC"
140,"Niger","NER"
141,"Nigeria","NGA"
142,"Northern Mariana Islands","MNP"
143,"Norway","NOR"
144,"Oman","OMN"
145,"Pakistan","PAK"
146,"Palau","PLW"
147,"Panama","PAN"
148,"Papua New Guinea","PNG"
149,"Paraguay","PRY"
150,"Peru","PER"
151,"Philippines","PHL"
152,"Poland","POL"
153,"Portugal","PRT"
154,"Puerto Rico","PRI"
155,"Qatar","QAT"
156,"Romania","ROU"
157,"Russian Federation","RUS"
158,"Rwanda","RWA"
159,"Samoa","WSM"
160,"San Marino","SMR"
161,"Sao Tome and Principe","STP"
162,"Saudi Arabia","SAU"
163,"Senegal","SEN"
164,"Serbia","SRB"
165,"Seychelles","SYC"
166,"Sierra Leone","SLE"
167,"Singapore","SGP"
168,"Slovak Republic","SVK"
169,"Slovenia","SVN"
170,"Solomon Islands","SLB"
171,"Somalia","SOM"
172,"South Africa","ZAF"
173,"South Sudan","SSD"
174,"Spain","ESP"
175,"Sri Lanka","LKA"
176,"St. Kitts and Nevis","KNA"
177,"St. Lucia","LCA"
178,"St. Vincent and the Grenadines","VCT"
179,"Sudan","SDN"
180,"Suriname","SUR"
181,"Swaziland","SWZ"
182,"Sweden","SWE"
183,"Switzerland","CHE"
184,"Syrian Arab Republic","SYR"
185,"Tajikistan","TJK"
186,"Tanzania","TZA"
187,"Thailand","THA"
188,"Timor-Leste","TLS"
189,"Togo","TGO"
190,"Tonga","TON"
191,"Trinidad and Tobago","TTO"
192,"Tunisia","TUN"
193,"Turkey","TUR"
194,"Turkmenistan","TKM"
195,"Tuvalu","TUV"
196,"Uganda","UGA"
197,"Ukraine","UKR"
198,"United Arab Emirates","ARE"
199,"United Kingdom","GBR"
200,"United States","USA"
201,"Uruguay","URY"
202,"Uzbekistan","UZB"
203,"Vanuatu","VUT"
204,"Venezuela, RB","VEN"
205,"Vietnam","VNM"
206,"Virgin Islands (U.S.)","VIR"
207,"West Bank and Gaza","PSE"
208,"Yemen, Rep.","YEM"
209,"Zambia","ZMB"
210,"Zimbabwe","ZWE"
